iter	Passed	Remaining
0	0	857
1	1	839
2	2	792
3	3	785
4	3	774
5	4	778
6	5	776
7	6	767
8	6	756
9	7	746
10	8	741
11	8	737
12	9	729
13	10	724
14	10	719
15	11	710
16	12	701
17	12	695
18	13	696
19	14	694
20	14	694
21	15	694
22	16	695
23	17	699
24	17	697
25	18	701
26	19	702
27	20	701
28	20	698
29	21	697
30	22	695
31	22	694
32	23	691
33	24	690
34	25	689
35	25	686
36	26	685
37	27	683
38	27	680
39	28	679
40	28	677
41	29	677
42	30	678
43	31	677
44	31	674
45	32	670
46	33	669
47	33	667
48	34	666
49	34	664
50	35	663
51	36	662
52	37	661
53	37	660
54	38	660
55	39	658
56	39	656
57	40	655
58	40	653
59	41	651
60	42	651
61	43	652
62	43	651
63	44	651
64	45	650
65	45	649
66	46	647
67	47	647
68	47	645
69	48	644
70	49	642
71	49	641
72	50	641
73	51	640
74	51	638
75	52	637
76	52	634
77	53	633
78	54	633
79	55	632
80	55	633
81	56	631
82	57	630
83	57	629
84	58	628
85	59	627
86	59	625
87	60	625
88	61	624
89	61	624
90	62	624
91	63	623
92	63	622
93	64	620
94	65	619
95	65	619
96	66	618
97	67	616
98	67	616
99	68	615
100	69	615
101	69	614
102	70	613
103	71	612
104	71	611
105	72	610
106	73	609
107	73	610
108	74	611
109	75	611
110	76	610
111	76	609
112	77	608
113	78	606
114	78	605
115	79	603
116	79	601
117	80	601
118	81	601
119	81	599
120	82	596
121	82	595
122	83	593
123	83	591
124	84	589
125	84	588
126	85	586
127	85	584
128	86	584
129	87	583
130	87	582
131	88	581
132	89	580
133	89	578
134	90	578
135	90	576
136	91	575
137	91	573
138	92	572
139	93	572
140	93	571
141	94	570
142	94	568
143	95	566
144	95	565
145	96	563
146	96	562
147	97	560
148	98	559
149	98	558
150	99	557
151	99	556
152	100	555
153	100	554
154	101	553
155	102	552
156	102	552
157	103	551
158	104	550
159	104	549
160	105	548
161	105	547
162	106	546
163	107	546
164	107	545
165	108	544
